subject_code,subject,tik_number,tik_name,tik_classifier_id,uik_count,uik_voting_address_count,missing_uik_voting_address_count,tik_address_present,tik_phone_present,fallback_present,priority_missing_uiks
3,Республика Башкортостан,57,"г. Уфа, Октябрьская",b78769f6-f402-42ae-9e33-de78e136083d,91,0,91,0,0,0,91
23,Краснодарский край,2,Анапская,7d225d46-d7f4-4d9d-b74b-52c1e39add67,91,0,91,0,0,0,91
36,Воронежская область,13,"Воронеж, Советская",67c424f0-66b5-4f8d-9d90-81858ef56ccc,91,0,91,0,0,0,91
50,Московская область,2,Королев (123 округ ГД),e04eb083-ba3f-4367-bcde-1e798401dd61,91,0,91,0,0,0,91
39,Калининградская область,9,"Калининград, Московская",91a33566-b819-4e35-8bff-331c6a489bea,90,0,90,0,0,0,90
11,Республика Коми,12,Сыктывкарская городская,3599b674-54e1-4dfc-a211-a26fb894e44d,87,0,87,0,0,0,87
50,Московская область,4,Солнечногорск (119 округ ГД),6d32240d-06d1-4bc3-8970-038315e9d851,86,0,86,0,0,0,86
50,Московская область,5,Клин (121 округ ГД),b17f6c0d-0259-4d41-aff3-44c1a543eeff,86,0,86,0,0,0,86
61,Ростовская область,33,Неклиновская,3dad1e96-f6a4-4633-848d-327b6e3f8fd1,86,0,86,0,0,0,86
72,Тюменская область,22,Центральная ТИК,5a713682-e4ed-4bf2-9418-16a3ac3732c3,86,0,86,0,0,0,86
36,Воронежская область,20,Лискинская,f8a965ce-42ff-472e-a283-f7166623ace7,85,0,85,0,0,0,85
50,Московская область,5,Чехов (128 округ ГД),7820f1ba-a29e-4c5c-a97b-4d70197df30f,85,0,85,0,0,0,85
3,Республика Башкортостан,55,"г. Уфа, Кировская",d15c23bf-580d-49f9-8b12-d0966f2ecc69,84,0,84,0,0,0,84
3,Республика Башкортостан,75,Туймазинская,c2bbd190-825f-4982-9851-a0fd5f8c9d82,84,0,84,0,0,0,84
16,Республика Татарстан (Татарстан),50,Нижнекамская городская,936b8c0a-d231-4553-95d1-82473acaf662,84,0,84,0,0,0,84
33,Владимирская область,6,Муром округ,c8fc7cdb-4776-4a39-8855-fe85c1877831,84,0,84,0,0,0,84
65,Сахалинская область,18,Южно-Сахалинская городская,3b07fb88-69c4-4c66-9f69-7eb2ba892a2e,84,0,84,0,0,0,84
72,Тюменская область,19,Тюменская ТИК,6e2281b9-11d1-4977-bd25-908db3800e70,84,0,84,0,0,0,84
95,Донецкая Народная Республика,20,ТИК №20,a9dd1e39-f896-46c3-a24f-202e86afad0b,84,0,84,0,0,0,84
38,Иркутская область,25,Нижнеудинская,789a3d1d-97a1-4c35-8b90-38bacbe25044,83,0,83,0,0,0,83
50,Московская область,2,Воскресенск (120 округ ГД),61706eb4-3955-4799-8bd8-c8a3dfe46c21,83,0,83,0,0,0,83
55,Омская область,34,"Омск, ТИК по Ленинскому АО",29af5e1c-bf25-4cab-8068-a09273382323,83,0,83,0,0,0,83
63,Самарская область,39,Сызранская городская,a7dd0a52-3f90-443d-91df-78435a3dbbd9,83,0,83,0,0,0,83
70,Томская область,21,Территориальная избирательная комиссия Томского района,cbf70a62-8af8-4be6-9c9e-67ba6b843a59,82,0,82,0,0,0,82
90,Пермский край,46,Кунгурская,2d35c690-5b4a-492c-be4a-e3d9adac2020,83,1,82,0,0,0,82
55,Омская область,37,"Омск, ТИК № 1 по Центральный АО",2a0acb9c-1d08-416c-b238-64dd97a7f04f,81,0,81,0,0,0,81
61,Ростовская область,2,Азовская,04d41a65-3943-47d1-9228-b3aa9e2aa1d5,81,0,81,0,0,0,81
72,Тюменская область,29,Восточная ТИК,38a847d8-80d7-4686-82bd-d58026485e85,81,0,81,0,0,0,81
60,Псковская область,20,Псковская городская,96c77aaf-a49a-4921-9507-0271546db01b,80,0,80,0,0,0,80
19,Республика Хакасия,1,Абаканская городская,39841e22-1baf-44d5-8106-bbf57d900687,79,0,79,0,0,0,79
39,Калининградская область,8,"Калининград, Ленинградская",f7f37665-08ee-4789-8b16-a27a236ca4e5,79,0,79,0,0,0,79
65,Сахалинская область,19,Невельская судовая,71db345d-8b4f-4c25-aed2-52ec8d2350dc,79,0,79,0,0,0,79
21,Чувашская Республика - Чувашия,22,"Чебоксары, Московская",51fe5595-4eb0-4f8e-a88d-958a8651bd1d,78,0,78,0,0,0,78
26,Ставропольский край,27,Пятигорская городская,89f73d46-a238-40d8-9e20-877bd4643bf0,78,0,78,0,0,0,78
36,Воронежская область,11,"Воронеж, Левобережная",6c992263-67d8-4faa-98cf-2e3bdcf3c318,78,0,78,0,0,0,78
38,Иркутская область,16,Иркутская городская N 4,75517ede-98e8-4456-8102-ff8a206edfd6,78,0,78,0,0,0,78
16,Республика Татарстан (Татарстан),33,"Казань, Ново-Савиновская",e3172f43-835f-416f-b3d8-74784df58408,77,0,77,0,0,0,77
24,Красноярский край,66,Территориальная избирательная комиссия Назаровского округа Красноярского края,c8ca648c-381d-44c3-9bba-ee77a475338e,77,0,77,0,0,0,77
64,Саратовская область,6,Балашовская,9bfc7674-1e9b-4c14-ab2b-5d1476050c35,77,0,77,0,0,0,77
4,Республика Бурятия,23,"Улан-Удэ, Октябрьская",bb0fa907-184d-4f1c-bf51-6a0acd39946d,76,0,76,0,0,0,76
50,Московская область,2,Ленинский (122 округ ГД),7824fc32-02ed-4330-9cd9-8acbf19a26c5,76,0,76,0,0,0,76
50,Московская область,3,Павлово-Посадский (125 округ ГД),f493cd92-fec7-4d5e-99ba-d2d645a616ad,76,0,76,0,0,0,76
3,Республика Башкортостан,7,Баймакская,dd291e8a-bd10-42ec-b0c9-593d39548d48,75,0,75,0,0,0,75
23,Краснодарский край,4,Армавирская,ab9ac9c4-9f9a-41a9-9018-8bddd8421c86,75,0,75,0,0,0,75
38,Иркутская область,32,Тайшетская,6beb84c2-0f8d-4af5-9317-b47705aaa60b,75,0,75,0,0,0,75
50,Московская область,4,Электросталь (125 округ ГД),893c0f73-9678-4ae1-88e3-7ff4073b2b33,75,0,75,0,0,0,75
71,Тульская область,16,Новомосковская,d6c1bca1-d906-49c0-9df0-0158986eaba3,76,1,75,0,0,0,75
4,Республика Бурятия,9,Кабанская,8ccb7172-f28f-4cde-916b-ddbb0c4b51b9,74,0,74,0,0,0,74
23,Краснодарский край,6,Белореченская,d8e354b5-c832-4131-803e-03a7162550a1,74,0,74,0,0,0,74
25,Приморский край,26,ТИК района Спасск-Дальний,db8f21a5-e68a-4678-8ac1-cf1f58b07c90,74,0,74,0,0,0,74
3,Республика Башкортостан,29,Ишимбайская,a4c958dc-c40c-4456-b646-231187194af7,73,0,73,0,0,0,73
54,Новосибирская область,29,Октябрьский район города Новосибирска,1a6ce925-dd15-4dbd-95c9-01ffb74b921b,73,0,73,0,0,0,73
55,Омская область,35,"Омск, ТИК по Октябрьскому АО",65b6de94-1c96-4845-959d-e25baaf831ac,73,0,73,0,0,0,73
90,Пермский край,32,"Пермь, Мотовилихинская",306babfd-5dfc-47b7-9938-141d03615dbd,74,1,73,0,0,0,73
5,Республика Дагестан,46,Хасавюртовская,b66fdb1e-9ded-47b7-927b-d02acd7dfa1a,72,0,72,0,0,0,72
24,Красноярский край,25,Территориальная избирательная комиссия Канского округа Красноярского края,09b19cb1-b8c0-4d05-8457-14c5837dac42,72,0,72,0,0,0,72
54,Новосибирская область,27,Кировский район города Новосибирска,c920511a-cbac-453d-abe6-b2a3926248c5,72,0,72,0,0,0,72
64,Саратовская область,9,Вольская,6b60e4e9-f981-48f8-90ec-1e17fd9c5c25,72,0,72,0,0,0,72
90,Пермский край,3,Березниковская,e04e9de9-ff30-4b14-9c23-969f72009207,73,1,72,0,0,0,72
23,Краснодарский край,26,Крымская,8bd4784a-878a-4484-b9bd-c63947d76acb,71,0,71,0,0,0,71
61,Ростовская область,3,Аксайская,29ea2651-986e-49c6-ba6c-7bc8dd5c08de,71,0,71,0,0,0,71
